filename,totalBBs,averageInstPerBB,totalDynInstCount,dynIntALUCount,dynFpALUCount,dynMemCount,dynBranchCount,dynOtherCount,totalStaticInstCount,staticIntALUCont,staticFpALUCount,staticMemCount,staticBranchCount,staticOtherCount,dynStatIntALU,dynStatFpALU,dynStatMem,dynStatBranch,dynStatOther,biasBranch,unbiasBranch,loopCount,averageBBPerLoop,loopTotalStaticInstCount,averageLoopIntALU,averageLoopFpALU,averageLoopMem,averageLoopBranch,averageLoopOther,recursiveCount,numNestedLoops,numOuterNestedLoops,averageLoopDepth,averageOuterLoopDef,deepestDepth,Best 1 Times,Best 1 Opt Passes
00001.c,1.0,3.0,3.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0006051287055015564,115
00002.c,1.0,3.0,3.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0006115846335887909,118
00003.c,1.0,7.0,7.0,1.0,0.0,5.0,0.0,1.0,7.0,1.0,0.0,5.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.000528242439031601,103
00004.c,1.0,11.0,11.0,0.0,0.0,10.0,0.0,1.0,11.0,0.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0005294680595397949,111
00005.c,9.0,3.7780000000000005,28.0,3.0,0.0,19.0,3.0,1.0,34.0,3.0,0.0,22.0,3.0,1.0,0.824,1.0,0.0,0.864,1.0,1.0,5.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.000530589371919632,117
00006.c,4.0,3.5,360.0,101.0,0.0,156.0,51.0,1.0,14.0,2.0,0.0,8.0,1.0,1.0,25.714,50.5,0.0,19.5,51.0,1.0,102.0,0.0,0,7.0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.000596262514591217,104
00007.c,11.0,3.0,172.0,43.0,0.0,72.0,23.0,1.0,33.0,5.0,0.0,17.0,3.0,1.0,5.212,8.6,0.0,4.235,7.667,1.0,56.0,0.0,0,15.0,0,0,0,0,0,0.0,0.0,2.0,1.0,1.0,1.0,0.0006124414503574371,0
00008.c,4.0,3.5,357.0,100.0,0.0,155.0,50.0,1.0,14.0,2.0,0.0,8.0,1.0,1.0,25.5,50.0,0.0,19.375,50.0,1.0,101.0,0.0,0,7.0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0006491653621196747,100
00009.c,1.0,16.0,16.0,4.0,0.0,11.0,0.0,1.0,16.0,4.0,0.0,11.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0006019584834575653,96
00010.c,5.0,1.4,7.0,0.0,0.0,2.0,0.0,1.0,7.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0005671381950378418,95
