Filename,Random Forest,SVR Linear,SVR Poly,SVR RBF,KNN,Gradient Boosting,AdaBoost,Random Number,O0,O1,O2,O3
00201.c,00201.c,0.0008278302848339081,0.0008170120418071747,0.0008280444890260696,0.0008407477289438248,0.0008601471781730652,0.000860355794429779,0.0008603464812040329,0.0008069518953561783,0.0008926559239625931,0.0009575523436069489,0.0007744356989860535,0.0009061489254236221
00202.c,00202.c,0.0008811932057142258,0.0008947718888521194,0.0008770767599344254,0.0008128192275762558,0.0008468721061944962,0.0008363276720046997,0.0008534099906682968,0.0008592661470174789,0.000782262533903122,0.0007897317409515381,0.0008665695786476135,0.0009755399078130722
00203.c,00203.c,0.0009007081389427185,0.0009023305028676987,0.0008803792297840118,0.0008887127041816711,0.0009172819554805756,0.001098165288567543,0.0009873155504465103,0.0010385233908891678,0.0009876955300569534,0.0010195616632699966,0.0010841358453035355,0.0011623278260231018
00204.c,00204.c,0.0016177687793970108,0.0015596356242895126,0.0016049053519964218,0.001548292115330696,0.0014292076230049133,0.0015078019350767136,0.001526741310954094,0.0014484860002994537,0.001568421721458435,0.0016313884407281876,0.0016111917793750763,0.0015999991446733475
00205.c,00205.c,0.0011961683630943298,0.0012681391090154648,0.001237453892827034,0.0010908842086791992,0.0011286977678537369,0.0011660326272249222,0.001304449513554573,0.001281455159187317,0.0012674108147621155,0.0011873822659254074,0.0012424290180206299,0.0011333916336297989
00206.c,00206.c,0.001170080155134201,0.0009530708193778992,0.0009869039058685303,0.0012083016335964203,0.0011197030544281006,0.0011723823845386505,0.0011823773384094238,0.0012200195342302322,0.0012008193880319595,0.0011529680341482162,0.000963279977440834,0.00109206885099411
00207.c,00207.c,0.001130538061261177,0.0008473694324493408,0.0010025855153799057,0.0011664088815450668,0.0009046010673046112,0.0009132325649261475,0.000796763226389885,0.0008463002741336823,0.0009008944034576416,0.0008738581091165543,0.0009009223431348801,0.0008045602589845657
00208.c,00208.c,0.0008069071918725967,0.000897454097867012,0.0009030811488628387,0.0007740985602140427,0.0009641963988542557,0.0007966607809066772,0.0007559880614280701,0.000756680965423584,0.000841282308101654,0.000840773805975914,0.0008640103042125702,0.0008124634623527527
00209.c,00209.c,0.0008424744009971619,0.0009646657854318619,0.000897599384188652,0.0008881557732820511,0.0008213836699724197,0.0008906647562980652,0.0008464939892292023,0.0008019208908081055,0.0009461045265197754,0.0008722897619009018,0.0009308718144893646,0.0008697099983692169
00210.c,00210.c,0.000929391011595726,0.0010322779417037964,0.0009430311620235443,0.0009120628237724304,0.0008416119962930679,0.0009014252573251724,0.0009970217943191528,0.0009370334446430206,0.0008918792009353638,0.000987272709608078,0.0009183622896671295,0.0009371396154165268
00211.c,00211.c,0.0008712373673915863,0.0009798407554626465,0.0010018926113843918,0.0010001584887504578,0.0009445622563362122,0.0009664017707109451,0.0008833631873130798,0.0009431447833776474,0.0010570939630270004,0.0008958876132965088,0.0009171999990940094,0.000973675400018692
00212.c,00212.c,0.0009484235197305679,0.000935116782784462,0.0008738655596971512,0.0008961688727140427,0.0008589904755353928,0.0008921381086111069,0.000842774286866188,0.0008665397763252258,0.0008993353694677353,0.0008541364222764969,0.0009606871753931046,0.0009207352995872498
00213.c,00213.c,0.0009803138673305511,0.001002257689833641,0.0010701455175876617,0.0009615998715162277,0.0011006742715835571,0.0010331403464078903,0.0010266117751598358,0.0010247286409139633,0.001067180186510086,0.001021193340420723,0.0010974165052175522,0.0011904332786798477
00214.c,00214.c,0.0010231584310531616,0.0009675193578004837,0.0010257847607135773,0.0010981373488903046,0.00121382437646389,0.0012319926172494888,0.0012130066752433777,0.0012543369084596634,0.00125921331346035,0.0012382268905639648,0.0011976119130849838,0.0010285768657922745
00215.c,00215.c,0.0012510363012552261,0.0012096893042325974,0.001226605847477913,0.0012858286499977112,0.0012944303452968597,0.0012282449752092361,0.0011599548161029816,0.001284400001168251,0.0012006256729364395,0.001166176050901413,0.0013402961194515228,0.0011752191931009293
