Filename,Random Forest,SVR Linear,SVR Poly,SVR RBF,KNN,Gradient Boosting,AdaBoost,Random Number,O0,O1,O2,O3
00201.c,00201.c,0.0005117040127515793,0.0004969742149114609,0.00047671981155872345,0.00045734085142612457,0.0005049854516983032,0.0005195736885070801,0.0005017910152673721,0.0004618745297193527,0.0005054976791143417,0.0004858672618865967,0.0004679728299379349,0.0005142483860254288
00202.c,00202.c,0.0004798509180545807,0.000524669885635376,0.00052616186439991,0.000515935942530632,0.0005213767290115356,0.0005596913397312164,0.0004938952624797821,0.0005057156085968018,0.0005260128527879715,0.0004652310162782669,0.0005133859813213348,0.0004827473312616348
00203.c,00203.c,0.00048007071018218994,0.0004873480647802353,0.00046481192111968994,0.0005120132118463516,0.00045669078826904297,0.0005166921764612198,0.00046269968152046204,0.0004913005977869034,0.0004972927272319794,0.0005127470940351486,0.0005104914307594299,0.0004455000162124634
00204.c,00204.c,0.0010934490710496902,0.0010255444794893265,0.0008982028812170029,0.0010099057108163834,0.0009970441460609436,0.0009951870888471603,0.0010013040155172348,0.0010444559156894684,0.001117512583732605,0.0009917002171278,0.001080092042684555,0.0010630618780851364
00205.c,00205.c,0.0006281714886426926,0.0006313696503639221,0.0006331745535135269,0.0006243381649255753,0.0005687642842531204,0.0006265584379434586,0.0006393641233444214,0.000630868598818779,0.0006576124578714371,0.000626763328909874,0.0005973521620035172,0.0006444007158279419
00206.c,00206.c,0.000507814809679985,0.0004885569214820862,0.0004760418087244034,0.0005332659929990768,0.0005186572670936584,0.0005061198025941849,0.0005312636494636536,0.0005435217171907425,0.0004942473024129868,0.0005015116184949875,0.0004833713173866272,0.00044565461575984955
00207.c,00207.c,0.00047427602112293243,0.00044076330959796906,0.0004972368478775024,0.0004575047641992569,0.0004726238548755646,0.00045125558972358704,0.00046125054359436035,0.0004619751125574112,0.0004632435739040375,0.0004901904612779617,0.0004610065370798111,0.00047918036580085754
00208.c,00208.c,0.00043137744069099426,0.0004666037857532501,0.0004274211823940277,0.0004049595445394516,0.0004439614713191986,0.00046110525727272034,0.00045219995081424713,0.00043107010424137115,0.0004051625728607178,0.0004300512373447418,0.0004300083965063095,0.000434214249253273
00209.c,00209.c,0.000463336706161499,0.0004477202892303467,0.0004413668066263199,0.00042593851685523987,0.0004200246185064316,0.0004481431096792221,0.0004572775214910507,0.00040590018033981323,0.0004466995596885681,0.00039025023579597473,0.00042055733501911163,0.0004162844270467758
00210.c,00210.c,0.0004644487053155899,0.00046074576675891876,0.0004505794495344162,0.00045975856482982635,0.0004460439085960388,0.00045376457273960114,0.00044745951890945435,0.0004587024450302124,0.0004592929035425186,0.0004562363028526306,0.0005398839712142944,0.00047368183732032776
00211.c,00211.c,0.0004600193351507187,0.0004886910319328308,0.0004563741385936737,0.00048166513442993164,0.0004577692598104477,0.0004851333796977997,0.0004878547042608261,0.0005330462008714676,0.0004355870187282562,0.00047093816101551056,0.00047826580703258514,0.00044524483382701874
00212.c,00212.c,0.0004925299435853958,0.0004537738859653473,0.00048371218144893646,0.00043798424303531647,0.0004653260111808777,0.000493297353386879,0.0004372578114271164,0.00046892277896404266,0.00044480711221694946,0.00046810880303382874,0.0004624258726835251,0.0004915986210107803
00213.c,00213.c,0.0005145911127328873,0.0005042832344770432,0.0005241036415100098,0.0005603842437267303,0.0005187150090932846,0.0005547367036342621,0.0005267169326543808,0.0004998892545700073,0.0004960708320140839,0.0004994068294763565,0.00047775544226169586,0.0005051214247941971
00214.c,00214.c,0.0004634540528059006,0.0004748143255710602,0.0004685893654823303,0.0004651900380849838,0.0004697255790233612,0.00047103874385356903,0.0005161203444004059,0.0004627220332622528,0.0004786308854818344,0.00046634674072265625,0.00045807845890522003,0.00047176703810691833
00215.c,00215.c,0.0005014818161725998,0.0004679728299379349,0.0004766155034303665,0.000506790354847908,0.000487765297293663,0.0004990268498659134,0.0004795920103788376,0.00047517381608486176,0.0004856474697589874,0.0004938468337059021,0.0004990082234144211,0.00048495084047317505
00216.c,00216.c,0.0006070602685213089,0.0005730930715799332,0.0007284879684448242,0.0006331149488687515,0.0005916208028793335,0.0005601067095994949,0.0006309989839792252,0.0005708150565624237,0.0005860868841409683,0.0005399696528911591,0.0005702730268239975,0.0005610939115285873
00217.c,00217.c,0.00045153871178627014,0.00048115290701389313,0.00045518018305301666,0.0005177035927772522,0.0004471130669116974,0.0004914086312055588,0.0005253832787275314,0.0004301406443119049,0.0005083885043859482,0.0005211066454648972,0.00048828125,0.0005266331136226654
00218.c,00218.c,0.00045095570385456085,0.00039139948785305023,0.00044864602386951447,0.00046339258551597595,0.0004443284124135971,0.000436294823884964,0.00042451173067092896,0.0004200693219900131,0.00043735839426517487,0.0004249587655067444,0.00042084231972694397,0.0004278942942619324
00219.c,00219.c,0.0004911608994007111,0.0005057696253061295,0.0004637204110622406,0.0004789624363183975,0.00047187507152557373,0.0004968531429767609,0.0004957392811775208,0.0004857070744037628,0.0004823841154575348,0.00046982988715171814,0.0004910565912723541,0.0004952885210514069
00220.c,00220.c,0.00044634751975536346,0.0004903189837932587,0.00046475231647491455,0.00046445615589618683,0.0004885755479335785,0.0004724804311990738,0.00047148019075393677,0.00045405328273773193,0.0004931539297103882,0.00047154538333415985,0.00046331435441970825,0.00047582387924194336
nestedLoop.c,nestedLoop.c,0.0004543103277683258,0.00044608674943447113,0.0004567839205265045,0.0004754960536956787,0.00042388029396533966,0.0004060789942741394,0.0004729274660348892,0.0004552789032459259,0.0004950538277626038,0.0004627443850040436,0.0004515592008829117,0.00045934878289699554
recursion.c,recursion.c,0.00045139528810977936,0.00044777803122997284,0.00047273561358451843,0.00044561177492141724,0.0004200916737318039,0.00047722645103931427,0.0004854835569858551,0.00044723227620124817,0.00041212886571884155,0.00043872371315956116,0.0004558619111776352,0.00045807473361492157
select.c,select.c,0.0004567522555589676,0.0004466138780117035,0.00046708062291145325,0.0004746895283460617,0.00043508410453796387,0.0004773009568452835,0.00042348168790340424,0.0004046037793159485,0.0004514940083026886,0.0004953145980834961,0.00043251924216747284,0.00045539624989032745
test10.c,test10.c,0.0005173142999410629,0.00045997463166713715,0.0004604943096637726,0.0004919692873954773,0.0005208365619182587,0.00047418102622032166,0.0005079563707113266,0.0004889834672212601,0.0004978105425834656,0.0005272030830383301,0.0005175359547138214,0.0004991088062524796
test11.c,test11.c,0.00046654604375362396,0.0004985947161912918,0.0005562715232372284,0.000460037961602211,0.0005130302160978317,0.0004996005445718765,0.0005174539983272552,0.00045274198055267334,0.000450940802693367,0.0005440022796392441,0.00048398785293102264,0.0004804953932762146
test12.c,test12.c,0.0004486069083213806,0.00043305009603500366,0.0004708617925643921,0.00047098100185394287,0.00047830864787101746,0.0005135219544172287,0.0004181377589702606,0.00043388642370700836,0.0004935339093208313,0.0004731323570013046,0.0004073232412338257,0.0004596710205078125
