filename,Best 1 Times,Best 1 Opt Passes
test9.c,0.000575631856918335,88
insertsort.c,0.0006037503480911255,115
test23.c,0.0006495490670204163,90
matmul.c,0.0005542002618312836,101
test4.c,0.01431111991405487,103
test17.c,0.0005108639597892761,115
adpcm-test.c,0.0021423399448394775,119
qsort-exam.c,0.0005296654999256134,22
bs.c,0.0006219372153282166,96
test30.c,0.0006314031779766083,119
test22.c,0.0006391368806362152,102
test11.c,0.0006007924675941467,1
test25.c,0.0006800442934036255,111
test13.c,0.0006309933960437775,100
test16.c,0.000544767826795578,103
fft1.c,0.0005369149148464203,117
test2.c,0.0006028041243553162,115
test21.c,0.0006428360939025879,111
test20.c,0.0006324537098407745,115
test33.c,0.000581108033657074,115
fft1k.c,0.0007616281509399414,111
test19.c,0.0006399601697921753,107
test3.c,0.0006617605686187744,119
test5.c,0.0006226487457752228,99
test24.c,0.0006061382591724396,116
test31.c,0.0006425417959690094,107
test28.c,0.0006315447390079498,107
sqrt.c,0.0005990378558635712,111
jfdctint.c,0.0005832836031913757,107
fibcall.c,0.000633731484413147,99
test10.c,0.000574801117181778,119
minver.c,0.0005449466407299042,119
test8.c,0.0006632544100284576,115
test14.c,0.0006757527589797974,111
test1.c,0.000692412257194519,115
test7.c,0.0006523206830024719,115
test26.c,0.000645611435174942,112
test18.c,0.0006836727261543274,115
simple.c,0.003338426351547241,119
test29.c,0.0006241016089916229,111
test32.c,0.0006205551326274872,115
test6.c,0.0006025098264217377,115
ludcmp.c,0.0006213411688804626,97
test12.c,0.0005804672837257385,119
lms.c,0.000673338770866394,112
crc.c,0.0005513280630111694,111
fir.c,0.0005464144051074982,107
test27.c,0.0006265193223953247,111
test15.c,0.0006028637290000916,111
qurt.c,0.0005057528614997864,107
