filename,Best 1 Times,Best 1 Opt Passes
insertsort.c,NaN,119
00036.c,NaN,119
00190.c,NaN,119
00132.c,NaN,119
00123.c,NaN,119
00071.c,NaN,119
train6.c,NaN,119
train2.c,NaN,119
00128.c,NaN,119
00159.c,NaN,119
00087.c,NaN,119
00055.c,NaN,119
00101.c,NaN,119
00006.c,NaN,119
00031.c,NaN,119
00145.c,NaN,119
00106.c,NaN,119
00186.c,NaN,119
matmul.c,NaN,119
00015.c,NaN,119
00044.c,NaN,119
00120.c,NaN,119
00083.c,NaN,119
00049.c,NaN,119
00116.c,NaN,119
00073.c,NaN,119
00127.c,NaN,119
00022.c,NaN,119
00041.c,NaN,119
00038.c,NaN,119
00103.c,NaN,119
00090.c,NaN,119
train7.c,NaN,119
00122.c,NaN,119
adpcm-test.c,NaN,119
qsort-exam.c,NaN,119
bs.c,NaN,119
train21.c,NaN,119
00053.c,NaN,119
00056.c,NaN,119
00077.c,NaN,119
00096.c,NaN,119
00081.c,NaN,119
00162.c,NaN,119
00117.c,NaN,119
00058.c,NaN,119
train20.c,NaN,119
00072.c,NaN,119
00196.c,NaN,119
00060.c,NaN,119
00178.c,NaN,119
00025.c,NaN,119
00095.c,NaN,119
train18.c,NaN,119
00156.c,NaN,119
00057.c,NaN,119
00024.c,NaN,119
00009.c,NaN,119
00146.c,NaN,119
00167.c,NaN,119
00158.c,NaN,119
00067.c,NaN,119
00092.c,NaN,119
00045.c,NaN,119
00007.c,NaN,119
train15.c,NaN,119
00033.c,NaN,119
00032.c,NaN,119
00074.c,NaN,119
00104.c,NaN,119
train23.c,NaN,119
00114.c,NaN,119
00150.c,NaN,119
00111.c,NaN,119
fft1.c,NaN,119
train11.c,NaN,119
00062.c,NaN,119
00068.c,NaN,119
00157.c,NaN,119
00149.c,NaN,119
train5.c,NaN,119
00119.c,NaN,119
00075.c,NaN,119
00198.c,NaN,119
train22.c,NaN,119
00141.c,NaN,119
00144.c,NaN,119
00004.c,NaN,119
00177.c,NaN,119
fft1k.c,NaN,119
00109.c,NaN,119
00054.c,NaN,119
00011.c,NaN,119
00110.c,NaN,119
00063.c,NaN,119
00152.c,NaN,119
00019.c,NaN,119
00180.c,NaN,119
00080.c,NaN,119
00084.c,NaN,119
00020.c,NaN,119
00185.c,NaN,119
00093.c,NaN,119
00099.c,NaN,119
00160.c,NaN,119
train17.c,NaN,119
00134.c,NaN,119
sqrt.c,NaN,119
00193.c,NaN,119
jfdctint.c,NaN,119
00131.c,NaN,119
fibcall.c,NaN,119
00172.c,NaN,119
00066.c,NaN,119
00016.c,NaN,119
train10.c,NaN,119
00078.c,NaN,119
00171.c,NaN,119
00200.c,NaN,119
00182.c,NaN,119
00155.c,NaN,119
00042.c,NaN,119
00105.c,NaN,119
00061.c,NaN,119
00175.c,NaN,119
00027.c,NaN,119
00129.c,NaN,119
00048.c,NaN,119
00018.c,NaN,119
00161.c,NaN,119
00176.c,NaN,119
00047.c,NaN,119
00136.c,NaN,119
train1.c,NaN,119
00064.c,NaN,119
00089.c,NaN,119
00165.c,NaN,119
00037.c,NaN,119
train4.c,NaN,119
00030.c,NaN,119
00035.c,NaN,119
train12.c,NaN,119
00085.c,NaN,119
minver.c,NaN,119
00051.c,NaN,119
00130.c,NaN,119
00189.c,NaN,119
train19.c,NaN,119
00184.c,NaN,119
00121.c,NaN,119
00135.c,NaN,119
00040.c,NaN,119
train13.c,NaN,119
00014.c,NaN,119
00195.c,NaN,119
train8.c,NaN,119
00008.c,NaN,119
00012.c,NaN,119
00173.c,NaN,119
00021.c,NaN,119
00043.c,NaN,119
00001.c,NaN,119
00100.c,NaN,119
00199.c,NaN,119
00138.c,NaN,119
train16.c,NaN,119
00197.c,NaN,119
00086.c,NaN,119
00052.c,NaN,119
00059.c,NaN,119
00098.c,NaN,119
00069.c,NaN,119
00023.c,NaN,119
00137.c,NaN,119
00140.c,NaN,119
00192.c,NaN,119
00017.c,NaN,119
00125.c,NaN,119
simple.c,NaN,119
00026.c,NaN,119
00170.c,NaN,119
00183.c,NaN,119
00126.c,NaN,119
00174.c,NaN,119
00115.c,NaN,119
00154.c,NaN,119
00005.c,NaN,119
00079.c,NaN,119
00151.c,NaN,119
00164.c,NaN,119
00034.c,NaN,119
00163.c,NaN,119
00076.c,NaN,119
00094.c,NaN,119
00188.c,NaN,119
00181.c,NaN,119
00088.c,NaN,119
00102.c,NaN,119
00082.c,NaN,119
00147.c,NaN,119
ludcmp.c,NaN,119
train9.c,NaN,119
00003.c,NaN,119
00010.c,NaN,119
00124.c,NaN,119
lms.c,NaN,119
00013.c,NaN,119
00097.c,NaN,119
00118.c,NaN,119
00029.c,NaN,119
00168.c,NaN,119
00039.c,NaN,119
00179.c,NaN,119
00133.c,NaN,119
00113.c,NaN,119
00050.c,NaN,119
00169.c,NaN,119
00107.c,NaN,119
00143.c,NaN,119
00187.c,NaN,119
00070.c,NaN,119
00139.c,NaN,119
00046.c,NaN,119
crc.c,NaN,119
00142.c,NaN,119
00065.c,NaN,119
00191.c,NaN,119
00112.c,NaN,119
train3.c,NaN,119
fir.c,NaN,119
00148.c,NaN,119
00194.c,NaN,119
00153.c,NaN,119
00002.c,NaN,119
00166.c,NaN,119
qurt.c,NaN,119
00028.c,NaN,119
train14.c,NaN,119
00108.c,NaN,119
