filename,Best 1 Times,Best 1 Opt Passes
insertsort.c,0.043280862271785736,119
00036.c,0.051452454179525375,119
00190.c,0.05082858353853226,119
00132.c,0.06326937675476074,107
00123.c,0.05560164526104927,119
00071.c,0.0520285926759243,119
train6.c,0.04980161413550377,119
train2.c,0.05887988209724426,115
00128.c,0.05221230164170265,115
00159.c,0.05664105340838432,115
00087.c,0.050927888602018356,115
00055.c,0.06113570183515549,119
00101.c,0.05526338145136833,119
00006.c,0.05666307732462883,119
00031.c,0.05045592039823532,115
00145.c,0.050496656447649,119
00106.c,0.052222203463315964,115
00186.c,0.05480295792222023,111
matmul.c,0.05104544758796692,119
00015.c,0.05217783525586128,115
00044.c,0.051222268491983414,119
00120.c,0.06959880515933037,42
00083.c,0.05631842091679573,119
00049.c,0.051376648247241974,119
00116.c,0.05339052528142929,119
00073.c,0.05092822015285492,119
00127.c,0.051151175051927567,115
00022.c,0.05067943036556244,119
00041.c,0.17540615797042847,119
00038.c,0.048678308725357056,119
00103.c,0.0533900149166584,119
00090.c,0.0511162206530571,115
train7.c,0.05399169772863388,115
00122.c,0.050358884036540985,119
adpcm-test.c,0.21744884550571442,119
qsort-exam.c,0.056791745126247406,115
bs.c,0.05365047603845596,119
train21.c,0.05346260964870453,119
00053.c,0.051174096763134,119
00056.c,0.05311776325106621,119
00077.c,0.049731116741895676,119
00096.c,0.052567992359399796,119
00081.c,0.05270381644368172,115
00162.c,0.053806088864803314,119
00117.c,0.049520958214998245,119
00058.c,0.053909819573163986,115
train20.c,0.055176954716444016,119
00072.c,0.0522620864212513,119
00196.c,0.05419829860329628,119
00060.c,0.0536595918238163,115
00178.c,0.05534639209508896,119
00025.c,0.05054707080125809,119
00095.c,0.05576983839273453,119
train18.c,0.05291489139199257,111
00156.c,0.059195611625909805,115
00057.c,0.04873646795749664,115
00024.c,0.049975816160440445,115
00009.c,0.05164622887969017,119
00146.c,0.05300743877887726,107
00167.c,0.05133163556456566,115
00158.c,0.05614660680294037,119
00067.c,0.05609350651502609,115
00092.c,0.049250613898038864,119
00045.c,0.050034575164318085,119
00007.c,0.05712762102484703,119
train15.c,0.05327619984745979,119
00033.c,0.050979580730199814,115
00032.c,0.05384159833192825,119
00074.c,0.05335984751582146,119
00104.c,0.05174475908279419,119
train23.c,0.0649561807513237,119
00114.c,0.050706710666418076,119
00150.c,0.04935157299041748,119
00111.c,0.057058583945035934,107
fft1.c,0.05225346237421036,119
train11.c,0.060472335666418076,115
00062.c,0.05128329247236252,119
00068.c,0.051409345120191574,119
00157.c,0.05625502020120621,119
00149.c,0.05124172195792198,119
train5.c,0.058938369154930115,115
00119.c,0.05353029444813728,119
00075.c,0.05102124810218811,111
00198.c,0.05592791363596916,119
train22.c,0.056214865297079086,119
00141.c,0.056646838784217834,111
00144.c,0.05129801109433174,119
00004.c,0.0500534288585186,119
00177.c,0.054356615990400314,115
fft1k.c,0.07076969370245934,119
00109.c,0.051341474056243896,119
00054.c,0.05441337823867798,115
00011.c,0.05498061701655388,115
00110.c,0.05395372211933136,119
00063.c,0.05262485891580582,119
00152.c,0.052753008902072906,119
00019.c,0.050051093101501465,119
00180.c,0.05830381438136101,119
00080.c,0.0577838234603405,119
00084.c,0.05859846621751785,119
00020.c,0.05769208073616028,115
00185.c,0.058755096048116684,115
00093.c,0.053088657557964325,115
00099.c,0.05279316380620003,119
00160.c,0.054932668805122375,115
train17.c,0.055637143552303314,119
00134.c,0.05382167920470238,119
sqrt.c,0.047075122594833374,119
00193.c,0.06361366808414459,119
jfdctint.c,0.055637333542108536,119
00131.c,0.06840984150767326,116
fibcall.c,0.05344751477241516,119
00172.c,0.05748304724693298,115
00066.c,0.06480707228183746,119
00016.c,0.05482621118426323,115
train10.c,0.06010345369577408,115
00078.c,0.050315674394369125,119
00171.c,0.056861452758312225,119
00200.c,0.051917556673288345,119
00182.c,0.05251290276646614,119
00155.c,0.05316382646560669,119
00042.c,0.05592372640967369,119
00105.c,0.053300414234399796,119
00061.c,0.05220072716474533,119
00175.c,0.05993569642305374,119
00027.c,0.052010197192430496,119
00129.c,0.05405636131763458,119
00048.c,0.05272918567061424,119
00018.c,0.05418838933110237,119
00161.c,0.057127051055431366,119
00176.c,0.05312272161245346,119
00047.c,0.052681051194667816,119
00136.c,0.05239405110478401,119
train1.c,0.058508601039648056,115
00064.c,0.05349396914243698,119
00089.c,0.05856144428253174,115
00165.c,0.06323115900158882,119
00037.c,0.06598953530192375,111
train4.c,1.4148428291082382,115
00030.c,0.05726693943142891,115
00035.c,0.054874639958143234,119
train12.c,0.05617179721593857,119
00085.c,0.052720874547958374,119
minver.c,0.05010931193828583,119
00051.c,0.051959022879600525,119
00130.c,0.05149983987212181,115
00189.c,0.054703108966350555,119
train19.c,0.05428812652826309,119
00184.c,0.05345207452774048,115
00121.c,0.05685139819979668,119
00135.c,0.0511808805167675,119
00040.c,8.78287759423256,101
train13.c,0.057084981352090836,119
00014.c,0.06955473497509956,119
00195.c,0.06139863654971123,119
train8.c,0.06868162378668785,119
00008.c,0.05277421325445175,119
00012.c,0.05430317297577858,115
00173.c,0.05908412113785744,119
00021.c,0.0504523366689682,115
00043.c,0.052881695330142975,119
00001.c,0.056273382157087326,119
00100.c,0.06770877167582512,69
00199.c,0.062291864305734634,115
00138.c,0.055169589817523956,115
train16.c,0.058759577572345734,111
00197.c,0.05606609955430031,115
00086.c,0.04916933923959732,119
00052.c,0.05073966458439827,115
00059.c,0.052221477031707764,115
00098.c,0.05639832839369774,119
00069.c,0.051037684082984924,119
00023.c,0.053917355835437775,119
00137.c,0.05394836142659187,119
00140.c,0.05324161797761917,115
00192.c,0.05612131208181381,115
00017.c,0.049438025802373886,119
00125.c,0.05609238147735596,119
simple.c,0.07663464918732643,119
00026.c,0.05403250455856323,119
00170.c,0.05840042233467102,119
00183.c,0.05785975605249405,111
00126.c,0.060227811336517334,111
00174.c,0.057330697774887085,119
00115.c,0.052060581743717194,119
00154.c,0.05815936625003815,115
00005.c,0.054210640490055084,119
00079.c,0.05456019565463066,119
00151.c,0.05495778098702431,119
00164.c,0.05759799852967262,119
00034.c,0.053900569677352905,115
00163.c,0.06423182785511017,111
00076.c,0.054883480072021484,119
00094.c,0.05463070422410965,115
00188.c,0.05433529242873192,119
00181.c,0.057461321353912354,119
00088.c,0.05411507934331894,119
00102.c,0.05169013887643814,119
00082.c,0.051227815449237823,119
00147.c,0.053860560059547424,119
ludcmp.c,0.05357862636446953,119
train9.c,0.05538945645093918,119
00003.c,0.05919668450951576,119
00010.c,0.05214611813426018,119
00124.c,0.052439168095588684,115
lms.c,0.060519736260175705,119
00013.c,0.059522081166505814,119
00097.c,0.049804236739873886,119
00118.c,0.05398043245077133,115
00029.c,0.05005042627453804,119
00168.c,0.06518750265240669,119
00039.c,0.05386696010828018,119
00179.c,0.06314868107438087,99
00133.c,0.054921433329582214,119
00113.c,0.051695309579372406,119
00050.c,0.05320918187499046,119
00169.c,0.06708651036024094,111
00107.c,0.04905106499791145,119
00143.c,0.05433272197842598,115
00187.c,0.06908151879906654,119
00070.c,0.05295521020889282,111
00139.c,0.049116864800453186,119
00046.c,0.05505175143480301,119
crc.c,0.054628703743219376,115
00142.c,0.0580076165497303,119
00065.c,0.05808163061738014,111
00191.c,0.052057038992643356,119
00112.c,0.06089739128947258,107
train3.c,0.05867667868733406,119
fir.c,0.05372648313641548,119
