filename,Best 1 Times,Best 1 Opt Passes
insertsort.c,NaN,3
00036.c,NaN,58
00190.c,NaN,40
00132.c,NaN,44
00123.c,NaN,114
00071.c,NaN,33
train6.c,NaN,9
train2.c,NaN,107
00128.c,NaN,19
00159.c,NaN,59
00087.c,NaN,61
00055.c,NaN,57
00101.c,NaN,30
00006.c,NaN,19
00031.c,NaN,27
00145.c,NaN,74
00106.c,NaN,64
00186.c,NaN,77
matmul.c,NaN,109
00015.c,NaN,39
00044.c,NaN,64
00120.c,NaN,15
00083.c,NaN,102
00049.c,NaN,37
00116.c,NaN,20
00073.c,NaN,65
00127.c,NaN,76
00022.c,NaN,28
00041.c,NaN,36
00038.c,NaN,15
00103.c,NaN,53
00090.c,NaN,114
train7.c,NaN,90
00122.c,NaN,117
adpcm-test.c,NaN,108
qsort-exam.c,NaN,6
bs.c,NaN,39
train21.c,NaN,106
00053.c,NaN,24
00056.c,NaN,7
00077.c,NaN,62
00096.c,NaN,12
00081.c,NaN,68
00162.c,NaN,48
00117.c,NaN,51
00058.c,NaN,116
train20.c,NaN,71
00072.c,NaN,36
00196.c,NaN,59
00060.c,NaN,106
00178.c,NaN,54
00025.c,NaN,3
00095.c,NaN,70
train18.c,NaN,34
00156.c,NaN,8
00057.c,NaN,66
00024.c,NaN,96
00009.c,NaN,32
00146.c,NaN,94
00167.c,NaN,26
00158.c,NaN,39
00067.c,NaN,68
00092.c,NaN,20
00045.c,NaN,90
00007.c,NaN,44
train15.c,NaN,85
00033.c,NaN,107
00032.c,NaN,73
00074.c,NaN,112
00104.c,NaN,93
train23.c,NaN,89
00114.c,NaN,35
00150.c,NaN,23
00111.c,NaN,47
fft1.c,NaN,91
train11.c,NaN,11
00062.c,NaN,32
00068.c,NaN,107
00157.c,NaN,15
00149.c,NaN,9
train5.c,NaN,96
00119.c,NaN,69
00075.c,NaN,87
00198.c,NaN,108
train22.c,NaN,7
00141.c,NaN,37
00144.c,NaN,67
00004.c,NaN,26
00177.c,NaN,118
fft1k.c,NaN,18
00109.c,NaN,45
00054.c,NaN,31
00011.c,NaN,34
00110.c,NaN,107
00063.c,NaN,102
00152.c,NaN,7
00019.c,NaN,83
00180.c,NaN,41
00080.c,NaN,18
00084.c,NaN,102
00020.c,NaN,49
00185.c,NaN,13
00093.c,NaN,93
00099.c,NaN,42
00160.c,NaN,102
train17.c,NaN,100
00134.c,NaN,36
sqrt.c,NaN,84
00193.c,NaN,17
jfdctint.c,NaN,109
00131.c,NaN,18
fibcall.c,NaN,44
00172.c,NaN,69
00066.c,NaN,15
00016.c,NaN,21
train10.c,NaN,9
00078.c,NaN,4
00171.c,NaN,54
00200.c,NaN,43
00182.c,NaN,118
00155.c,NaN,39
00042.c,NaN,92
00105.c,NaN,96
00061.c,NaN,9
00175.c,NaN,111
00027.c,NaN,66
00129.c,NaN,107
00048.c,NaN,9
00018.c,NaN,7
00161.c,NaN,87
00176.c,NaN,119
00047.c,NaN,11
00136.c,NaN,106
train1.c,NaN,25
00064.c,NaN,106
00089.c,NaN,15
00165.c,NaN,43
00037.c,NaN,118
train4.c,NaN,80
00030.c,NaN,1
00035.c,NaN,76
train12.c,NaN,34
00085.c,NaN,0
minver.c,NaN,23
00051.c,NaN,100
00130.c,NaN,61
00189.c,NaN,67
train19.c,NaN,53
00184.c,NaN,110
00121.c,NaN,33
00135.c,NaN,52
00040.c,NaN,10
train13.c,NaN,50
00014.c,NaN,57
00195.c,NaN,95
train8.c,NaN,8
00008.c,NaN,96
00012.c,NaN,91
00173.c,NaN,114
00021.c,NaN,2
00043.c,NaN,45
00001.c,NaN,18
00100.c,NaN,10
00199.c,NaN,38
00138.c,NaN,98
train16.c,NaN,9
00197.c,NaN,20
00086.c,NaN,114
00052.c,NaN,63
00059.c,NaN,91
00098.c,NaN,41
00069.c,NaN,117
00023.c,NaN,87
00137.c,NaN,25
00140.c,NaN,91
00192.c,NaN,31
00017.c,NaN,115
00125.c,NaN,114
simple.c,NaN,39
00026.c,NaN,105
00170.c,NaN,99
00183.c,NaN,84
00126.c,NaN,54
00174.c,NaN,67
00115.c,NaN,42
00154.c,NaN,87
00005.c,NaN,48
00079.c,NaN,25
00151.c,NaN,119
00164.c,NaN,87
00034.c,NaN,62
00163.c,NaN,98
00076.c,NaN,85
00094.c,NaN,86
00188.c,NaN,60
00181.c,NaN,16
00088.c,NaN,49
00102.c,NaN,119
00082.c,NaN,45
00147.c,NaN,93
ludcmp.c,NaN,8
train9.c,NaN,8
00003.c,NaN,84
00010.c,NaN,85
00124.c,NaN,14
lms.c,NaN,108
00013.c,NaN,9
00097.c,NaN,114
00118.c,NaN,107
00029.c,NaN,21
00168.c,NaN,47
00039.c,NaN,39
00179.c,NaN,58
00133.c,NaN,45
00113.c,NaN,92
00050.c,NaN,36
00169.c,NaN,78
00107.c,NaN,48
00143.c,NaN,73
00187.c,NaN,24
00070.c,NaN,99
00139.c,NaN,108
00046.c,NaN,116
crc.c,NaN,25
00142.c,NaN,34
00065.c,NaN,108
00191.c,NaN,116
00112.c,NaN,5
train3.c,NaN,63
fir.c,NaN,116
00148.c,NaN,35
00194.c,NaN,8
00153.c,NaN,55
00002.c,NaN,70
00166.c,NaN,101
qurt.c,NaN,67
00028.c,NaN,10
train14.c,NaN,25
00108.c,NaN,78
