filename,Best 1 Times,Best 1 Opt Passes
insertsort.c,NaN,111
00036.c,NaN,39
00190.c,NaN,59
00132.c,NaN,83
00123.c,NaN,68
00071.c,NaN,70
train6.c,NaN,67
train2.c,NaN,18
00128.c,NaN,73
00159.c,NaN,34
00087.c,NaN,27
00055.c,NaN,51
00101.c,NaN,15
00006.c,NaN,33
00031.c,NaN,89
00145.c,NaN,35
00106.c,NaN,62
00186.c,NaN,6
matmul.c,NaN,8
00015.c,NaN,97
00044.c,NaN,92
00120.c,NaN,5
00083.c,NaN,52
00049.c,NaN,19
00116.c,NaN,92
00073.c,NaN,51
00127.c,NaN,86
00022.c,NaN,42
00041.c,NaN,86
00038.c,NaN,43
00103.c,NaN,26
00090.c,NaN,42
train7.c,NaN,58
00122.c,NaN,113
adpcm-test.c,NaN,26
qsort-exam.c,NaN,34
bs.c,NaN,113
train21.c,NaN,108
00053.c,NaN,22
00056.c,NaN,51
00077.c,NaN,77
00096.c,NaN,37
00081.c,NaN,117
00162.c,NaN,83
00117.c,NaN,102
00058.c,NaN,33
train20.c,NaN,68
00072.c,NaN,21
00196.c,NaN,38
00060.c,NaN,48
00178.c,NaN,118
00025.c,NaN,11
00095.c,NaN,50
train18.c,NaN,80
00156.c,NaN,80
00057.c,NaN,57
00024.c,NaN,50
00009.c,NaN,77
00146.c,NaN,12
00167.c,NaN,3
00158.c,NaN,117
00067.c,NaN,20
00092.c,NaN,45
00045.c,NaN,110
00007.c,NaN,72
train15.c,NaN,32
00033.c,NaN,57
00032.c,NaN,32
00074.c,NaN,48
00104.c,NaN,90
train23.c,NaN,76
00114.c,NaN,70
00150.c,NaN,78
00111.c,NaN,10
fft1.c,NaN,20
train11.c,NaN,116
00062.c,NaN,28
00068.c,NaN,45
00157.c,NaN,36
00149.c,NaN,24
train5.c,NaN,34
00119.c,NaN,76
00075.c,NaN,114
00198.c,NaN,5
train22.c,NaN,7
00141.c,NaN,58
00144.c,NaN,74
00004.c,NaN,102
00177.c,NaN,0
fft1k.c,NaN,24
00109.c,NaN,114
00054.c,NaN,1
00011.c,NaN,73
00110.c,NaN,114
00063.c,NaN,98
00152.c,NaN,25
00019.c,NaN,11
00180.c,NaN,1
00080.c,NaN,117
00084.c,NaN,41
00020.c,NaN,95
00185.c,NaN,33
00093.c,NaN,22
00099.c,NaN,69
00160.c,NaN,24
train17.c,NaN,119
00134.c,NaN,109
sqrt.c,NaN,1
00193.c,NaN,19
jfdctint.c,NaN,84
00131.c,NaN,21
fibcall.c,NaN,64
00172.c,NaN,70
00066.c,NaN,73
00016.c,NaN,81
train10.c,NaN,2
00078.c,NaN,15
00171.c,NaN,65
00200.c,NaN,48
00182.c,NaN,56
00155.c,NaN,104
00042.c,NaN,32
00105.c,NaN,96
00061.c,NaN,6
00175.c,NaN,34
00027.c,NaN,47
00129.c,NaN,76
00048.c,NaN,95
00018.c,NaN,42
00161.c,NaN,108
00176.c,NaN,97
00047.c,NaN,2
00136.c,NaN,105
train1.c,NaN,84
00064.c,NaN,99
00089.c,NaN,68
00165.c,NaN,76
00037.c,NaN,63
train4.c,NaN,113
00030.c,NaN,16
00035.c,NaN,11
train12.c,NaN,55
00085.c,NaN,21
minver.c,NaN,20
00051.c,NaN,21
00130.c,NaN,78
00189.c,NaN,55
train19.c,NaN,82
00184.c,NaN,84
00121.c,NaN,8
00135.c,NaN,106
00040.c,NaN,115
train13.c,NaN,55
00014.c,NaN,69
00195.c,NaN,56
train8.c,NaN,16
00008.c,NaN,29
00012.c,NaN,49
00173.c,NaN,33
00021.c,NaN,11
00043.c,NaN,16
00001.c,NaN,88
00100.c,NaN,92
00199.c,NaN,109
00138.c,NaN,113
train16.c,NaN,14
00197.c,NaN,45
00086.c,NaN,35
00052.c,NaN,53
00059.c,NaN,106
00098.c,NaN,105
00069.c,NaN,103
00023.c,NaN,69
00137.c,NaN,42
00140.c,NaN,45
00192.c,NaN,2
00017.c,NaN,25
00125.c,NaN,52
simple.c,NaN,20
00026.c,NaN,101
00170.c,NaN,76
00183.c,NaN,62
00126.c,NaN,68
00174.c,NaN,28
00115.c,NaN,26
00154.c,NaN,63
00005.c,NaN,36
00079.c,NaN,30
00151.c,NaN,54
00164.c,NaN,29
00034.c,NaN,51
00163.c,NaN,73
00076.c,NaN,61
00094.c,NaN,48
00188.c,NaN,43
00181.c,NaN,71
00088.c,NaN,84
00102.c,NaN,0
00082.c,NaN,70
00147.c,NaN,30
ludcmp.c,NaN,8
train9.c,NaN,12
00003.c,NaN,54
00010.c,NaN,10
00124.c,NaN,94
lms.c,NaN,71
00013.c,NaN,84
00097.c,NaN,74
00118.c,NaN,93
00029.c,NaN,93
00168.c,NaN,31
00039.c,NaN,51
00179.c,NaN,87
00133.c,NaN,67
00113.c,NaN,94
00050.c,NaN,100
00169.c,NaN,90
00107.c,NaN,19
00143.c,NaN,95
00187.c,NaN,65
00070.c,NaN,67
00139.c,NaN,90
00046.c,NaN,73
crc.c,NaN,111
00142.c,NaN,109
00065.c,NaN,109
00191.c,NaN,66
00112.c,NaN,118
train3.c,NaN,74
fir.c,NaN,68
00148.c,NaN,110
00194.c,NaN,68
00153.c,NaN,76
00002.c,NaN,21
00166.c,NaN,34
qurt.c,NaN,41
00028.c,NaN,88
train14.c,NaN,33
00108.c,NaN,54
