filename,Best 1 Times,Best 1 Opt Passes
insertsort.c,NaN,34
00036.c,NaN,111
00190.c,NaN,83
00132.c,NaN,119
00123.c,NaN,51
00071.c,NaN,119
train6.c,NaN,102
train2.c,NaN,96
00128.c,NaN,37
00159.c,NaN,85
00087.c,NaN,114
00055.c,NaN,73
00101.c,NaN,68
00006.c,NaN,112
00031.c,NaN,80
00145.c,NaN,69
00106.c,NaN,9
00186.c,NaN,24
matmul.c,NaN,38
00015.c,NaN,97
00044.c,NaN,29
00120.c,NaN,118
00083.c,NaN,55
00049.c,NaN,41
00116.c,NaN,109
00073.c,NaN,25
00127.c,NaN,97
00022.c,NaN,47
00041.c,NaN,113
00038.c,NaN,93
00103.c,NaN,63
00090.c,NaN,50
train7.c,NaN,96
00122.c,NaN,6
adpcm-test.c,NaN,90
qsort-exam.c,NaN,43
bs.c,NaN,58
train21.c,NaN,106
00053.c,NaN,59
00056.c,NaN,16
00077.c,NaN,113
00096.c,NaN,60
00081.c,NaN,27
00162.c,NaN,67
00117.c,NaN,31
00058.c,NaN,14
train20.c,NaN,5
00072.c,NaN,24
00196.c,NaN,72
00060.c,NaN,87
00178.c,NaN,46
00025.c,NaN,106
00095.c,NaN,40
train18.c,NaN,107
00156.c,NaN,3
00057.c,NaN,108
00024.c,NaN,111
00009.c,NaN,9
00146.c,NaN,22
00167.c,NaN,49
00158.c,NaN,47
00067.c,NaN,60
00092.c,NaN,56
00045.c,NaN,91
00007.c,NaN,71
train15.c,NaN,46
00033.c,NaN,84
00032.c,NaN,118
00074.c,NaN,50
00104.c,NaN,92
train23.c,NaN,74
00114.c,NaN,2
00150.c,NaN,52
00111.c,NaN,88
fft1.c,NaN,35
train11.c,NaN,63
00062.c,NaN,21
00068.c,NaN,6
00157.c,NaN,0
00149.c,NaN,72
train5.c,NaN,81
00119.c,NaN,1
00075.c,NaN,33
00198.c,NaN,23
train22.c,NaN,36
00141.c,NaN,86
00144.c,NaN,113
00004.c,NaN,119
00177.c,NaN,69
fft1k.c,NaN,2
00109.c,NaN,79
00054.c,NaN,97
00011.c,NaN,31
00110.c,NaN,90
00063.c,NaN,107
00152.c,NaN,88
00019.c,NaN,19
00180.c,NaN,11
00080.c,NaN,38
00084.c,NaN,57
00020.c,NaN,60
00185.c,NaN,87
00093.c,NaN,115
00099.c,NaN,18
00160.c,NaN,111
train17.c,NaN,13
00134.c,NaN,87
sqrt.c,NaN,46
00193.c,NaN,80
jfdctint.c,NaN,3
00131.c,NaN,114
fibcall.c,NaN,56
00172.c,NaN,34
00066.c,NaN,15
00016.c,NaN,108
train10.c,NaN,40
00078.c,NaN,28
00171.c,NaN,69
00200.c,NaN,105
00182.c,NaN,116
00155.c,NaN,52
00042.c,NaN,58
00105.c,NaN,33
00061.c,NaN,101
00175.c,NaN,32
00027.c,NaN,80
00129.c,NaN,71
00048.c,NaN,33
00018.c,NaN,42
00161.c,NaN,17
00176.c,NaN,47
00047.c,NaN,82
00136.c,NaN,8
train1.c,NaN,64
00064.c,NaN,4
00089.c,NaN,90
00165.c,NaN,92
00037.c,NaN,24
train4.c,NaN,48
00030.c,NaN,45
00035.c,NaN,68
train12.c,NaN,65
00085.c,NaN,33
minver.c,NaN,29
00051.c,NaN,111
00130.c,NaN,59
00189.c,NaN,92
train19.c,NaN,116
00184.c,NaN,37
00121.c,NaN,50
00135.c,NaN,82
00040.c,NaN,42
train13.c,NaN,23
00014.c,NaN,78
00195.c,NaN,0
train8.c,NaN,21
00008.c,NaN,32
00012.c,NaN,48
00173.c,NaN,2
00021.c,NaN,42
00043.c,NaN,116
00001.c,NaN,15
00100.c,NaN,101
00199.c,NaN,116
00138.c,NaN,19
train16.c,NaN,88
00197.c,NaN,41
00086.c,NaN,52
00052.c,NaN,88
00059.c,NaN,100
00098.c,NaN,92
00069.c,NaN,89
00023.c,NaN,82
00137.c,NaN,107
00140.c,NaN,20
00192.c,NaN,89
00017.c,NaN,105
00125.c,NaN,66
simple.c,NaN,1
00026.c,NaN,34
00170.c,NaN,37
00183.c,NaN,70
00126.c,NaN,116
00174.c,NaN,99
00115.c,NaN,26
00154.c,NaN,76
00005.c,NaN,119
00079.c,NaN,35
00151.c,NaN,22
00164.c,NaN,100
00034.c,NaN,47
00163.c,NaN,75
00076.c,NaN,79
00094.c,NaN,103
00188.c,NaN,85
00181.c,NaN,23
00088.c,NaN,18
00102.c,NaN,0
00082.c,NaN,55
00147.c,NaN,81
ludcmp.c,NaN,110
train9.c,NaN,3
00003.c,NaN,72
00010.c,NaN,70
00124.c,NaN,41
lms.c,NaN,3
00013.c,NaN,80
00097.c,NaN,65
00118.c,NaN,110
00029.c,NaN,24
00168.c,NaN,21
00039.c,NaN,43
00179.c,NaN,63
00133.c,NaN,112
00113.c,NaN,109
00050.c,NaN,41
00169.c,NaN,19
00107.c,NaN,55
00143.c,NaN,28
00187.c,NaN,61
00070.c,NaN,47
00139.c,NaN,91
00046.c,NaN,119
crc.c,NaN,110
00142.c,NaN,14
00065.c,NaN,70
00191.c,NaN,90
00112.c,NaN,54
train3.c,NaN,48
fir.c,NaN,86
00148.c,NaN,34
00194.c,NaN,53
00153.c,NaN,8
00002.c,NaN,116
00166.c,NaN,55
qurt.c,NaN,4
00028.c,NaN,45
train14.c,NaN,64
00108.c,NaN,76
